S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21
2.0,A. M ARIFF,Communist Party of India  (Marxist),335596,5451,341047,32.21
3.0,SOBHA SURENDRAN,Bharatiya Janata Party,295841,3807,299648,28.3
4.0,MURALEEDHARAN KONCHERILLAM,Bahujan Samaj Party,1578,48,1626,0.15
5.0,ARJUNAN,Socialist Unity Centre Of India (COMMUNIST),1301,18,1319,0.12
6.0,VAYALAR RAJEEVAN,Bahujan Dravida Party,674,1,675,0.06
7.0,ADV.K.M SHAJAHAN,Independent,627,55,682,0.06
8.0,SHAJAHAN V.A.     S/O ABDUL AZEES,Independent,553,23,576,0.05
9.0,SATHEESH SHENOI,Independent,473,9,482,0.05
10.0,JAYAKRISHNAN P,Independent,329,56,385,0.04
11.0,JYOTHI ABRAHAM,Independent,328,10,338,0.03
12.0,NOTA,None of the Above,7252,113,7365,0.7
