S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8
2.0,ADV V S SUNILKUMAR,Communist Party of India,334462,3190,337652,30.95
3.0,K MURALEEDHARAN,Indian National Congress,324810,3314,328124,30.08
4.0,ADV P K NARAYANAN,Bahujan Samaj Party,1985,34,2019,0.19
5.0,SUNILKUMAR SON OF PRABHAKARAN,Independent,1930,22,1952,0.18
6.0,DIVAKARAN PALLATH,New Labour Party,812,7,819,0.08
7.0,M S JAFARGHAN,Independent,689,9,698,0.06
8.0,PRATHAPAN,Independent,685,24,709,0.06
9.0,JOSHI VILLADOM,Independent,460,33,493,0.05
10.0,NOTA,None of the Above,6046,26,6072,0.56
