S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),492732,2228,494960,51.36
2.0,KUMAR SARVJEET,Rashtriya Janata Dal,390469,2679,393148,40.8
3.0,SUSHMA KUMARI,Bahujan Samaj Party,12234,142,12376,1.28
4.0,DEVENDRA PRATAP,Independent,9209,2,9211,0.96
5.0,DHEERENDRA PRASAD,Loktantrik Samajwadi Party,5616,13,5629,0.58
6.0,GIRIDHAR SAPERA,The National Road Map Party of India,4708,19,4727,0.49
7.0,RANU KUMAR CHAUDHARY,Independent,4495,10,4505,0.47
8.0,RANJAN KUMAR,Independent,4233,1,4234,0.44
9.0,AYUSH KUMAR,Independent,4098,5,4103,0.43
10.0,SURENDRA MANJHI,Rashtriya Jansambhavna Party,3023,12,3035,0.31
11.0,AMRESH KUMAR,Independent,2800,21,2821,0.29
12.0,ASHOK KUMAR PASWAN,Independent,2692,9,2701,0.28
13.0,ARUN KUMAR,Independent,2531,23,2554,0.27
14.0,SHEO SHANKAR,Bhartiya Lok Chetna Party,2370,14,2384,0.25
15.0,NOTA,None of the Above,17177,111,17288,1.79
