S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,MANOJ KUMAR,Indian National Congress,509977,3027,513004,46.76
2.0,SHIVESH KUMAR,Bharatiya Janata Party,492177,1670,493847,45.01
3.0,SANTOSH KUMAR,Bahujan Samaj Party,45491,107,45598,4.16
4.0,SHIV SHANKAR RAM,Independent,8009,10,8019,0.73
5.0,SANTOSH KUMAR KHARWAR,Bhartiya Gandhiwadi Party,4817,5,4822,0.44
6.0,BANARSI DAS,Peoples Party of India (Democratic),4498,0,4498,0.41
7.0,AMIT KUMAR AMBEDKAR,Bahujan Mukti Party,2823,11,2834,0.26
8.0,PUNAM DEVI,Jantantra Awaj Party,2634,20,2654,0.24
9.0,UJARAN MUSAHAR,Jan Janwadi Party,2616,4,2620,0.24
10.0,NANDLAL RAM,Rashtriya Samaj Paksha,1956,4,1960,0.18
11.0,NOTA,None of the Above,17160,59,17219,1.57
