S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7
2.0,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,514375,5925,520300,37.82
3.0,KOPPULA RAJU,Indian National Congress,53264,1580,54844,3.99
4.0,BHASKAR NASINA,Bahujan Samaj Party,5710,101,5811,0.42
5.0,VIVEKA MANNEPALLI,Revolutionary Socialist Party,2794,10,2804,0.2
6.0,KOPPALA RAGHU,Independent,2010,5,2015,0.15
7.0,GAJULA SOMA SEKHAR,Jai Bharat National Party,1775,4,1779,0.13
8.0,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1315,15,1330,0.1
9.0,SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1228,5,1233,0.09
10.0,MALLEPALLY RAGHU,Navarang Congress Party,1104,1,1105,0.08
11.0,SHAIK SHAFI AHMED,All India Forward Bloc,1037,0,1037,0.08
12.0,NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,576,24,600,0.04
13.0,TALARI VENKATAIAH,Jaibhim Rao Bharat Party,553,5,558,0.04
14.0,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),452,2,454,0.03
15.0,NOTA,None of the Above,15454,123,15577,1.13
