S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23
2.0,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88
3.0,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89
4.0,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57
5.0,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38
6.0,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16
7.0,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14
8.0,S N SURESH,Independent,1611,20,1631,0.12
9.0,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09
10.0,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09
11.0,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09
12.0,S RAGHUNATHA REDDY,Independent,693,17,710,0.05
13.0,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05
14.0,NOTA,None of the Above,17826,145,17971,1.27
