S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29
2.0,ADV ARUN KUMAR C A,Communist Party of India,352708,5940,358648,40.07
3.0,BAIJU KALASALA,Bharath Dharma Jana Sena,140830,2154,142984,15.98
4.0,C MONICHEN,Independent,4893,81,4974,0.56
5.0,SANTHOSH PALATHUMPADAN,Bahujan Samaj Party,4183,123,4306,0.48
6.0,SURESH NOORANAD,Ambedkarite Party of India,1441,64,1505,0.17
7.0,K BIMALJI,Socialist Unity Centre Of India (COMMUNIST),1336,34,1370,0.15
8.0,MANTHARA VELAYUDHAN,Independent,910,19,929,0.1
9.0,KOZHUVASSERIL SURESH,Independent,836,20,856,0.1
10.0,NOTA,None of the Above,9640,243,9883,1.1
